,repository_name,language
0,.github,
1,aegisthus,Java
2,af_tsa,C
3,aminator,Python
4,archaius,Java
5,asf-rez-fork,Python
6,asgard,Groovy
7,astyanax,Java
8,atlas,Scala
9,atlas-docs,Python
10,aws-autoscaling,Shell
11,awsobjectmapper,Groovy
12,batch_request_api,Ruby
13,batch_request_client,Ruby
14,bbparse,C
15,bettertls,Go
16,blesk,JavaScript
17,bless,Python
18,blitz4j,Java
19,brutal,Python
20,cachemover,C++
21,CassJMeter,Java
22,chaosmonkey,Go
23,Cloud-Prize,
24,clove,Python
25,codec_compare,Python
26,concurrency-limits,Java
27,conductor,Java
28,conductor-community,Java
29,conductor-docs,Python
30,conductor-ui,JavaScript
31,consoleme,Python
32,curator,Java
33,denominator,Java
34,derand,Java
35,dgs,HTML
36,dgs-codegen,Kotlin
37,dgs-examples-java,Java
38,dgs-examples-java-2.7,Java
39,dgs-examples-java.latest,Java
40,dgs-examples-kotlin,Kotlin
41,dgs-examples-kotlin-2.7,Kotlin
42,dgs-examples-webflux,Java
43,dgs-federation-example,Kotlin
44,dgs-framework,Kotlin
45,dgs-intellij-plugin,Kotlin
46,dial-reference,C
47,dispatch,Python
48,dispatch-docker,Shell
49,dyno,Java
50,dyno-queues,Java
51,dynomite,C
52,dynomite-manager,Java
53,e2nest,Python
54,eclipse-jifa,Java
55,eclipse-mat,
56,edda,Scala
57,edda-client,Java
58,element-server,JavaScript
59,ember-batch-request,JavaScript
60,ember-nf-graph,JavaScript
61,ember-nf-graph-examples,JavaScript
62,eslint-config-netflix,Shell
63,eslint-plugin-x-element,JavaScript
64,eureka,Java
65,eureka-ui,JavaScript
66,EVCache,Java
67,fabricator,Java
68,falcor,JavaScript
69,falcor-datasource-chainer,JavaScript
70,falcor-express,JavaScript
71,falcor-express-demo,HTML
72,falcor-hapi,JavaScript
73,falcor-hapi-demo,HTML
74,falcor-http-datasource,JavaScript
75,falcor-json-graph,JavaScript
76,falcor-observable,JavaScript
77,falcor-path-syntax,JavaScript
78,falcor-path-utils,JavaScript
79,falcor-restify,JavaScript
80,falcor-restify-demo,HTML
81,falcor-router,JavaScript
82,falcor-router-demo,JavaScript
83,fast_jsonapi,Ruby
84,Fenzo,Java
85,Fido,C#
86,flamescope,Python
87,frigga,Java
88,genie,Java
89,glisten,Groovy
90,global-lock-bench,C
91,go-env,Go
92,go-expect,Go
93,go-iomux,Go
94,governator,Java
95,gradle-template,Java
96,hal-9001,Go
97,hollow,Java
98,hollow-reference-implementation,Java
99,hubcommander,Python
100,Hystrix,Java
101,iceberg,Java
102,iceberg-python,Python
103,iep,Java
104,iep-shadow,
105,image_compression_comparison,Python
106,inviso,JavaScript
107,ja,Java
108,jdocserver,Java
109,jfmt,Java
110,jig,Java
111,jist,Java
112,karyon,Java
113,lemur,Python
114,lemur-docker,Python
115,libamicontained,Rust
116,Lipstick,JavaScript
117,maestro,Java
118,mantis,Java
119,mantis-api,Java
120,mantis-cli,JavaScript
121,mantis-connectors,Java
122,mantis-control-plane,Java
123,mantis-examples,Java
124,mantis-gradle-plugin,Groovy
125,mantis-helm,Smarty
126,mantis-mql,Clojure
127,mantis-rxcontrol,Java
128,mantis-rxnetty,
129,mantis-source-jobs,Java
130,mantis-ui,TypeScript
131,matchcut,Jupyter Notebook
132,metacat,Java
133,metaflow,Python
134,metaflow-docs,JavaScript
135,metaflow-extensions-template,Python
136,metaflow-nflx-extensions,Python
137,metaflow-service,Python
138,metaflow-tools,HCL
139,metaflow-ui,TypeScript
140,metrics-client-go,Go
141,msl,C++
142,ndbench,HTML
143,nerror,JavaScript
144,netflix-commons,Java
145,netflix-graph,Java
146,netflix.github.com,HTML
147,netflixoss-npm-build-infrastructure,
148,nf-data-explorer,TypeScript
149,nflx-geofeed,
150,nflxprofile,Python
151,NfWebCrypto,C++
152,Nicobar,Java
153,ocelli,Java
154,octodns,Python
155,octodns-ns1,Python
156,octodns-route53,Python
157,octodns-ultra,Python
158,OpenVPCal,Python
159,osstracker,Scala
160,ostris-ai-toolkit-fork,
161,p2plab,Go
162,photon,Java
163,PigPen,Clojure
164,pollyjs,JavaScript
165,polynote,HTML
166,Prana,Java
167,Priam,Java
168,probnik,TypeScript
169,pygenie,Python
170,pytheas,JavaScript
171,q,Java
172,Raigad,Java
173,ReactiveLab,Java
174,read_bbrlog,C
175,recipes-rss,Java
176,rend,Go
177,rend-http,Go
178,rend-lmdb,Go
179,repokid,Python
180,restful-jsonapi,Ruby
181,ribbon,Java
182,runtime-health,Java
183,rx-aws-java-sdk,Java
184,s3mper,Java
185,security-bulletins,
186,security_monkey,Python
187,servo,Java
188,sherlock,R
189,signal-wrapper,Go
190,SimianArmy,Java
191,sleepy-puppy-docker,Dockerfile
192,spark,Scala
193,spectator,Java
194,spectator-cpp,C++
195,spectator-go,Go
196,spectator-go-runtime-metrics,Go
197,spectator-js,TypeScript
198,spectator-py,Python
199,spectator-py-runtime-metrics,Python
200,spectator-rb,Ruby
201,staash,Java
202,sureal,Python
203,suro,Java
204,Surus,Java
205,taskintrospection,C
206,tcplog_dumper,C
207,techreports,
208,titus,
209,titus-api-definitions,Makefile
210,titus-control-plane,Java
211,titus-executor,Go
212,titus-kube-common,Go
213,tslint-config-netflix,JavaScript
214,ttal-dapt-conv,JavaScript
215,Turbine,Java
216,unleash,JavaScript
217,user2020-metaflow-tutorial,R
218,vector,JavaScript
219,vectorflow,D
220,videoannotator,Jupyter Notebook
221,virtual-kubelet,Go
222,vizceral,JavaScript
223,vizceral-component,JavaScript
224,vizceral-example,JavaScript
225,vizceral-react,JavaScript
226,vmaf,C
227,vmaf_resource,
228,void-model,Python
229,vp9-dash,
230,webpack-parse-query,JavaScript
231,weep,Go
232,Workflowable,Ruby
233,x-element,JavaScript
234,x-test,JavaScript
235,x-test-cli,JavaScript
236,yetch,JavaScript
237,zeno,Java
238,zuul,Java
